Description
RL_1

Time;11:40:49.097;11:40:49.826;11:40:50.825;11:40:51.844;11:40:52.923;11:40:54.012;11:40:54.873;11:40:55.864;11:40:57.033;11:40:57.854;11:40:58.836
Global Index;1;2;3;4;5;6;7;8;9;10;11
Phase;;;;;;;;;;;
Phase Record Index;1;2;3;4;5;6;7;8;9;10;11
Integration Time in ms;200;200;200;200;200;200;200;200;200;200;200
Average Count;5;5;5;5;5;5;5;5;5;5;5
314,6;0;27465;27691;27569;27591;27625;27638;27685;27670;27594;27727
317,3;0;21948;22104;22202;22118;22265;22282;22208;22142;22274;22325
320,0;0;15744;15826;15816;15815;15866;15898;15802;16019;15913;15909
322,6;0;10176;10226;10330;10393;10394;10278;10272;10252;10307;10361
325,3;0;6146;6272;6260;6323;6324;6334;6282;6347;6257;6355
328,0;0;3583;3640;3656;3724;3643;3767;3665;3685;3737;3703
330,7;0;2166;2192;2230;2248;2241;2259;2172;2231;2278;2242
333,3;0;1371;1436;1448;1433;1467;1488;1424;1421;1477;1436
336,0;0;1019;1045;1108;1054;1093;1076;1095;1063;1123;1058
338,7;0;855;894;892;910;912;920;944;937;901;916
341,3;0;783;839;855;853;854;882;861;897;840;891
344,0;0;745;746;804;826;790;816;816;839;815;850
346,6;0;716;758;794;804;789;810;790;794;794;858
349,3;0;720;742;790;744;786;786;769;756;772;784
352,0;0;656;635;664;669;708;718;721;710;706;724
354,6;0;629;642;656;668;674;657;663;651;654;673
357,2;0;535;587;586;604;606;564;589;578;578;638
359,9;0;469;556;542;528;557;535;518;543;493;536
362,5;0;463;456;468;452;485;492;511;467;482;480
365,2;0;428;424;445;432;424;428;430;428;426;423
367,8;0;348;366;386;370;370;380;339;401;381;366
370,4;0;308;323;324;337;349;342;298;360;340;319
373,0;0;320;312;318;278;312;323;338;347;341;332
375,7;0;302;290;300;269;318;339;302;309;279;310
378,3;0;346;316;313;345;322;316;331;350;292;331
380,9;0;314;345;354;314;324;309;320;315;345;350
383,5;0;319;308;299;303;326;331;319;311;323;307
386,1;0;331;333;341;311;364;314;320;325;367;327
388,7;0;292;302;326;287;317;296;327;302;293;310
391,3;0;316;306;309;294;313;294;267;311;332;294
393,9;0;323;358;345;363;321;336;332;325;358;313
396,5;0;324;373;316;362;350;332;352;384;336;352
399,1;0;329;342;330;318;359;321;326;327;322;357
401,7;0;337;371;398;371;363;345;359;362;360;352
404,3;0;339;333;364;363;348;357;321;329;373;370
406,9;0;342;362;344;361;338;308;375;353;377;352
409,5;0;300;333;341;364;358;341;356;360;350;338
412,0;0;293;347;280;311;303;328;346;342;316;315
414,6;0;310;308;313;299;333;342;297;335;332;343
417,2;0;320;303;300;306;296;297;264;284;347;317
419,7;0;314;294;286;280;292;315;323;331;319;293
422,3;0;272;244;291;276;296;256;280;276;276;278
424,8;0;261;246;289;294;237;269;250;297;284;249
427,4;0;255;269;258;293;237;272;268;270;280;280
429,9;0;287;280;298;275;286;293;287;293;297;280
432,5;0;238;214;266;248;237;262;252;258;228;246
435,0;0;283;288;278;277;271;236;259;279;254;273
437,5;0;269;243;270;245;273;276;282;265;272;254
440,1;0;234;238;268;242;225;242;238;241;263;238
442,6;0;209;215;191;172;218;184;191;190;224;186
445,1;0;222;165;227;243;201;243;209;198;227;254
447,6;0;282;249;273;271;267;264;249;272;302;259
450,1;0;243;283;259;223;254;251;242;259;271;285
452,6;0;208;237;252;243;213;254;224;227;228;225
455,2;0;190;220;215;224;257;207;215;259;227;202
457,7;0;243;224;258;253;251;260;273;246;285;248
460,1;0;236;250;240;255;247;267;211;234;233;265
462,6;0;268;270;217;220;275;233;262;238;275;247
465,1;0;260;255;257;247;254;248;266;286;283;279
467,6;0;253;297;259;228;268;257;289;261;258;247
470,1;0;212;225;251;266;258;263;235;217;234;252
472,6;0;246;259;261;266;271;273;245;260;252;254
475,0;0;263;289;265;294;281;285;331;293;280;274
477,5;0;247;234;231;272;273;276;270;269;281;257
479,9;0;311;303;293;311;303;318;304;298;342;286
482,4;0;327;315;322;318;333;333;351;339;311;312
484,8;0;314;324;376;318;374;326;322;362;352;313
487,3;0;279;328;316;289;299;333;318;311;301;313
489,7;0;306;329;357;314;324;332;328;311;362;325
492,2;0;319;318;309;330;308;309;327;319;342;316
494,6;0;351;355;344;374;315;385;362;352;355;358
497,0;0;358;356;382;344;346;365;353;337;379;360
499,4;0;345;388;407;395;402;408;399;384;398;407
501,8;0;484;496;500;499;490;505;462;461;503;464
504,3;0;579;579;576;552;552;597;556;582;622;580
506,7;0;683;689;668;674;717;709;693;723;713;699
509,1;0;725;727;724;745;741;737;735;721;721;747
511,5;0;689;744;733;708;716;702;702;737;726;692
513,8;0;617;640;649;624;654;612;609;626;641;617
516,2;0;542;524;539;528;531;541;521;515;552;512
518,6;0;440;457;415;432;444;440;478;424;473;461
521,0;0;347;387;352;354;360;385;364;383;384;385
523,3;0;330;321;356;376;342;345;352;330;315;336
525,7;0;323;339;337;327;349;370;377;367;327;350
528,1;0;426;428;444;459;443;453;426;400;405;437
530,4;0;475;482;480;517;483;488;466;487;444;478
532,8;0;500;521;513;517;536;531;510;542;488;534
535,1;0;495;540;488;525;531;510;545;539;527;554
537,4;0;481;471;470;484;484;470;485;461;488;460
539,8;0;293;277;304;291;280;282;258;292;298;288
542,1;0;245;188;227;205;217;219;219;260;247;183
544,4;0;216;203;222;231;202;214;244;215;194;234
546,7;0;266;244;268;298;301;260;261;283;265;269
549,1;0;272;275;306;295;247;249;263;246;272;283
551,4;0;327;271;268;276;303;294;290;265;272;291
553,7;0;295;319;353;320;318;348;295;299;302;298
556,0;0;321;285;298;306;275;304;272;307;280;318
558,2;0;283;292;259;266;291;284;259;263;299;289
560,5;0;280;246;258;255;260;243;229;225;239;279
562,8;0;242;253;244;221;248;245;220;257;247;210
565,1;0;238;238;238;240;220;231;206;217;217;222
567,3;0;211;220;222;220;234;195;212;210;206;221
569,6;0;244;221;249;237;227;263;247;219;220;258
571,8;0;139;142;152;142;129;159;151;169;154;155
574,1;0;152;130;115;137;163;127;116;134;90;129
576,3;0;119;124;130;148;156;140;130;178;132;142
578,6;0;102;116;120;127;106;103;88;105;115;118
580,8;0;78;70;86;73;91;53;85;119;105;109
