Description
rl_3

Time;12:24:08.933;12:24:09.865;12:24:10.879;12:24:11.987;12:24:12.910;12:24:13.908;12:24:14.906;12:24:16.039;12:24:16.892;12:24:17.874;12:24:18.941
Global Index;1;2;3;4;5;6;7;8;9;10;11
Phase;;;;;;;;;;;
Phase Record Index;1;2;3;4;5;6;7;8;9;10;11
Integration Time in ms;200;200;200;200;200;200;200;200;200;200;200
Average Count;5;5;5;5;5;5;5;5;5;5;5
314,6;28632;28679;28899;29024;29106;28932;29004;28958;28805;28947;29050
317,3;23243;23620;23627;23583;23680;23606;23621;23725;23766;23704;23648
320,0;17001;17231;17291;17390;17440;17527;17401;17306;17418;17372;17306
322,6;11404;11745;11721;11815;11828;11923;11816;11837;11807;11891;11804
325,3;7263;7640;7725;7708;7740;7782;7743;7771;7809;7764;7849
328,0;4546;4904;5049;5095;5094;5115;5106;5170;5125;5106;5131
330,7;3072;3435;3497;3559;3550;3572;3590;3565;3603;3621;3532
333,3;2279;2573;2662;2738;2766;2792;2761;2766;2793;2747;2778
336,0;1873;2195;2280;2336;2385;2390;2407;2399;2425;2384;2415
338,7;1653;1950;2100;2201;2135;2197;2204;2186;2174;2242;2236
341,3;1594;1884;2018;2128;2072;2083;2080;2137;2128;2143;2117
344,0;1479;1812;1908;2002;1974;2022;2032;2027;2010;2034;2017
346,6;1465;1769;1909;1910;1963;1995;1949;1936;2012;1966;1985
349,3;1417;1728;1809;1891;1854;1860;1929;1863;1917;1913;1907
352,0;1277;1555;1703;1731;1730;1750;1765;1765;1743;1826;1770
354,6;1194;1537;1654;1602;1635;1652;1658;1653;1699;1642;1709
357,2;1102;1340;1420;1386;1453;1473;1472;1416;1477;1500;1529
359,9;1001;1256;1280;1286;1336;1281;1332;1349;1332;1331;1343
362,5;871;1021;1134;1112;1135;1140;1171;1182;1148;1185;1158
365,2;772;915;969;973;1001;989;1043;1030;990;1006;1007
367,8;640;804;787;842;863;856;865;872;884;896;895
370,4;634;734;757;752;772;805;793;772;769;781;812
373,0;600;706;680;677;739;709;729;732;709;700;701
375,7;522;615;618;641;647;673;643;658;676;679;680
378,3;528;580;612;594;624;611;588;638;620;626;627
380,9;545;607;617;628;649;647;620;679;672;665;638
383,5;534;577;572;629;634;615;598;649;614;621;589
386,1;528;612;576;592;598;600;633;584;610;619;622
388,7;508;541;532;547;593;564;544;562;590;601;631
391,3;522;554;549;542;532;599;576;583;564;591;582
393,9;533;593;593;576;603;576;619;586;598;572;602
396,5;525;512;519;508;550;571;558;565;563;545;580
399,1;519;546;555;547;549;555;573;547;561;527;585
401,7;495;528;521;547;557;577;556;536;519;535;532
404,3;542;517;569;562;588;557;573;569;553;577;610
406,9;510;547;536;514;551;534;545;527;525;557;537
409,5;501;547;567;527;564;545;559;547;550;564;540
412,0;465;505;508;459;513;531;479;507;491;554;526
414,6;459;496;438;488;477;511;493;487;526;489;488
417,2;431;457;464;457;452;455;480;447;456;470;452
419,7;409;414;434;410;425;459;432;442;397;454;448
422,3;345;415;433;366;401;393;396;377;405;388;420
424,8;384;386;426;407;440;434;436;437;415;432;414
427,4;361;393;389;385;388;400;391;415;394;409;428
429,9;401;390;397;390;439;423;426;456;413;427;423
432,5;302;332;348;381;342;370;379;369;361;358;366
435,0;343;333;305;341;347;372;365;370;343;361;370
437,5;267;325;332;341;334;324;336;345;364;332;321
440,1;315;379;357;373;343;346;387;367;379;357;395
442,6;320;380;342;362;371;350;335;353;368;363;386
445,1;329;365;388;370;430;405;372;407;410;405;413
447,6;332;383;389;389;389;405;395;379;392;407;390
450,1;327;398;393;367;400;373;387;373;362;381;375
452,6;315;357;392;394;391;421;404;355;407;405;405
455,2;319;398;421;433;431;385;402;431;456;432;421
457,7;313;352;419;399;409;407;424;391;425;415;403
460,1;352;441;413;445;418;392;414;449;401;407;416
462,6;327;378;414;405;446;438;420;416;433;435;448
465,1;357;410;403;426;452;437;432;448;442;442;458
467,6;398;444;457;481;495;498;478;490;499;489;451
470,1;377;436;473;487;471;481;465;470;467;482;466
472,6;414;445;479;471;482;481;482;489;494;510;519
475,0;368;442;460;455;436;504;484;461;486;494;488
477,5;408;507;483;522;491;495;532;503;511;488;554
479,9;367;471;500;497;490;491;513;502;509;510;530
482,4;449;538;526;574;553;509;566;543;555;562;589
484,8;428;519;491;533;494;551;509;528;520;513;508
487,3;487;512;559;585;581;561;560;582;556;559;543
489,7;478;525;543;532;586;536;580;567;577;563;558
492,2;473;545;535;527;558;552;578;557;558;556;558
494,6;456;483;544;572;543;535;569;536;552;569;534
497,0;437;519;535;556;505;510;542;537;572;533;546
499,4;522;557;578;593;576;602;569;586;555;612;560
501,8;524;630;622;604;636;646;613;607;645;632;605
504,3;627;701;694;735;734;686;713;718;730;683;707
506,7;751;751;844;798;808;779;814;810;793;814;805
509,1;821;847;913;877;862;889;844;882;882;918;892
511,5;771;855;887;836;844;896;843;876;838;861;857
513,8;713;757;777;775;802;800;776;785;756;776;812
516,2;620;660;646;679;655;672;648;671;663;670;692
518,6;566;517;561;578;586;554;572;592;532;566;567
521,0;413;472;476;475;491;477;481;529;497;478;493
523,3;419;452;439;429;457;416;442;418;449;481;446
525,7;396;429;443;443;477;433;455;459;430;450;460
528,1;454;499;467;502;485;495;472;486;497;482;503
530,4;532;562;573;567;554;565;575;583;570;607;588
532,8;603;636;627;623;648;648;656;636;638;608;672
535,1;586;613;596;629;632;606;616;616;618;595;583
537,4;532;550;542;583;583;582;559;565;557;538;565
539,8;282;311;331;371;349;343;370;321;335;353;350
542,1;268;262;239;280;318;311;314;250;277;278;284
544,4;222;301;262;305;306;268;302;306;278;269;287
546,7;296;317;356;341;359;313;339;319;316;348;330
549,1;302;273;329;299;322;282;312;291;287;308;320
551,4;287;339;371;299;327;311;322;334;333;300;324
553,7;351;343;344;346;373;362;356;332;341;359;375
556,0;335;332;348;360;378;382;378;348;343;369;383
558,2;277;326;357;333;310;342;354;334;324;362;328
560,5;292;318;326;278;282;316;304;309;277;313;301
562,8;293;311;298;285;300;293;284;274;335;287;324
565,1;280;245;262;269;296;263;293;281;262;286;283
567,3;264;270;269;282;264;277;304;277;264;280;261
569,6;263;247;256;240;271;264;256;237;261;281;251
