Description
h2_2

Time;16:39:54.042;16:39:55.112;16:39:56.069;16:39:57.166;16:40:02.468;16:40:02.468;16:40:02.468;16:40:02.468;16:40:02.468;16:40:03.086
Global Index;1;2;3;4;5;6;7;8;9;10
Phase;;;;;;;;;;
Phase Record Index;1;2;3;4;5;6;7;8;9;10
Integration Time in ms;200;200;200;200;200;200;200;200;200;200
Average Count;5;5;5;5;5;5;5;5;5;5
314,6;37405;36176;35272;34589;34089;33719;33244;33008;32762;32630
317,3;33278;31909;30941;30287;29617;29089;28874;28441;28241;27942
320,0;28050;26440;25402;24748;24086;23566;23173;22732;22557;22281
322,6;23094;21410;20341;19467;18930;18446;17981;17595;17203;16957
325,3;19279;17460;16396;15613;15036;14414;13936;13670;13335;13232
328,0;16617;14928;13808;12927;12343;11806;11333;10992;10710;10453
330,7;15038;13511;12297;11509;10813;10259;9850;9487;9203;8948
333,3;14399;12654;11509;10642;10007;9528;9099;8800;8416;8122
336,0;14270;12403;11277;10595;9738;9266;8799;8462;8215;7963
338,7;14241;12436;11207;10278;9689;9205;8703;8361;8070;7815
341,3;14534;12568;11311;10601;9729;9336;8814;8478;8095;7931
344,0;14786;12824;11553;10647;9880;9357;8842;8548;8212;7935
346,6;15183;13028;11713;10858;10121;9519;8970;8679;8306;8074
349,3;15039;12971;11572;10659;9967;9405;8928;8585;8276;7935
352,0;14651;12458;11265;10395;9644;9109;8668;8311;7969;7708
354,6;14008;11875;10782;9884;9222;8651;8131;7961;7575;7303
357,2;12827;11015;9774;9113;8418;7976;7570;7201;6945;6706
359,9;11429;9960;8885;8133;7650;7170;6834;6480;6305;6139
362,5;10192;8694;7892;7189;6719;6438;6025;5803;5543;5435
365,2;8987;7764;6868;6393;5924;5622;5260;5129;4926;4777
367,8;7770;6707;6010;5563;5192;4906;4614;4481;4305;4179
370,4;6870;5977;5421;4885;4600;4402;4139;4030;3857;3707
373,0;6096;5338;4781;4394;4129;3974;3680;3593;3460;3354
375,7;5583;4837;4373;4024;3744;3595;3483;3292;3184;3092
378,3;5184;4476;4033;3728;3514;3344;3222;3092;3027;2935
380,9;4845;4201;3842;3531;3377;3264;3046;2931;2810;2779
383,5;4469;3962;3613;3372;3160;3039;2928;2802;2729;2646
386,1;4385;3852;3452;3254;3119;2973;2869;2708;2658;2613
388,7;4123;3636;3378;3155;2930;2852;2731;2666;2564;2542
391,3;3976;3521;3246;3036;2902;2803;2691;2630;2577;2481
393,9;3738;3329;3105;2948;2799;2693;2633;2553;2490;2388
396,5;3617;3177;2954;2824;2715;2641;2603;2473;2440;2357
399,1;3422;3073;2832;2757;2611;2550;2451;2409;2379;2343
401,7;3239;2897;2696;2566;2523;2472;2402;2381;2295;2282
404,3;3019;2757;2661;2541;2530;2446;2334;2329;2270;2275
406,9;2827;2626;2494;2450;2356;2349;2215;2244;2159;2167
409,5;2677;2483;2389;2317;2242;2266;2224;2129;2110;2110
412,0;2452;2305;2239;2159;2089;2093;2089;2042;2029;1982
414,6;2267;2159;2089;2048;1977;1995;1960;1945;1899;1898
417,2;2097;1979;1935;1905;1904;1903;1819;1845;1838;1829
419,7;1994;1883;1867;1866;1820;1830;1768;1788;1768;1780
422,3;1867;1781;1716;1718;1716;1667;1728;1687;1696;1667
424,8;1695;1679;1640;1633;1654;1643;1637;1656;1567;1623
427,4;1614;1600;1565;1567;1612;1560;1593;1560;1573;1548
429,9;1517;1489;1502;1517;1523;1514;1504;1470;1492;1503
432,5;1458;1419;1454;1418;1455;1405;1468;1401;1400;1416
435,0;1380;1395;1353;1428;1387;1420;1405;1393;1413;1436
437,5;1330;1343;1340;1302;1334;1321;1394;1377;1346;1366
440,1;1268;1260;1256;1271;1288;1321;1268;1321;1338;1317
442,6;1269;1226;1231;1260;1273;1259;1314;1296;1312;1320
445,1;1239;1232;1254;1237;1269;1306;1284;1290;1292;1331
447,6;1192;1204;1214;1234;1219;1258;1197;1218;1257;1278
450,1;1176;1150;1177;1212;1264;1223;1262;1266;1253;1271
452,6;1141;1169;1130;1162;1205;1193;1236;1257;1250;1279
455,2;1168;1160;1168;1165;1209;1199;1234;1237;1283;1231
457,7;1068;1114;1096;1079;1139;1175;1204;1162;1177;1218
460,1;1113;1113;1117;1145;1157;1197;1219;1212;1213;1216
462,6;1064;1085;1076;1100;1080;1115;1155;1120;1150;1196
465,1;962;1062;1058;1083;1088;1056;1137;1176;1130;1173
467,6;988;1000;1048;1062;1094;1044;1062;1123;1082;1115
470,1;958;981;990;1067;1061;1103;1074;1102;1150;1144
472,6;977;982;1020;1037;1011;1076;1103;1076;1135;1073
475,0;932;964;990;1021;1002;1029;1011;1093;1041;1055
477,5;954;963;975;1015;1050;1071;1070;1077;1077;1080
479,9;926;931;992;998;1047;1043;1046;1021;1046;1045
482,4;945;946;972;1001;1009;1029;1030;1028;1069;1015
484,8;937;917;963;990;970;1005;969;1014;1068;1093
487,3;892;905;920;954;904;955;954;994;973;1024
489,7;877;880;905;907;961;958;929;965;962;967
492,2;847;835;849;847;917;867;883;887;916;937
494,6;794;830;819;852;862;839;834;878;908;908
497,0;806;782;802;811;825;854;835;861;868;885
499,4;827;842;845;864;889;879;867;883;910;887
501,8;933;931;912;916;938;964;915;992;951;1013
504,3;1077;1092;1050;1101;1087;1080;1109;1116;1090;1130
506,7;1238;1192;1198;1207;1219;1207;1178;1222;1249;1177
509,1;1434;1262;1303;1346;1305;1321;1262;1311;1319;1337
511,5;1397;1261;1238;1288;1295;1268;1302;1310;1288;1299
513,8;1265;1101;1117;1143;1199;1138;1148;1137;1162;1172
516,2;1081;924;945;924;961;988;967;972;1016;1007
518,6;853;794;816;781;778;784;802;828;789;818
521,0;764;748;728;728;752;736;719;728;756;754
523,3;664;649;621;646;678;647;611;661;664;664
525,7;673;617;662;659;656;665;643;669;664;649
528,1;675;651;628;657;627;644;674;659;665;686
530,4;736;746;733;740;749;779;765;748;763;740
532,8;893;842;807;834;783;845;802;847;822;843
535,1;887;836;857;855;832;858;856;855;886;877
537,4;775;738;703;693;705;743;699;760;760;766
539,8;583;480;525;539;541;516;523;532;547;528
542,1;443;414;428;390;405;398;447;427;468;471
544,4;531;492;451;456;500;461;484;479;519;466
546,7;497;424;436;445;462;452;458;480;464;465
549,1;571;463;462;469;443;480;427;469;485;503
551,4;649;486;468;467;483;474;465;525;483;552
553,7;722;547;536;578;557;555;528;594;547;605
556,0;770;542;507;516;562;545;512;535;536;511
558,2;710;530;522;566;541;541;533;540;556;542
560,5;678;486;454;492;498;486;529;508;472;507
562,8;621;459;394;423;458;484;445;460;465;435
565,1;548;432;394;437;393;416;422;431;419;419
567,3;519;336;362;356;366;354;401;375;370;373
569,6;513;367;329;363;374;373;352;380;347;368
571,8;426;329;326;313;322;315;307;338;310;336
574,1;395;275;295;305;261;310;272;307;285;289
576,3;316;241;264;259;251;263;267;236;264;291
578,6;279;251;225;221;237;265;229;245;242;228
580,8;249;215;210;195;248;244;208;230;216;236
583,0;239;211;193;199;208;204;213;235;230;250
585,3;166;139;147;120;140;134;133;169;125;150
587,5;199;203;132;136;142;147;144;180;174;163
589,7;161;169;155;156;187;163;158;183;164;172
591,9;207;165;199;186;173;184;175;178;162;158
594,1;199;231;219;165;209;185;205;213;217;182
596,3;283;274;254;240;264;225;254;277;252;246
598,4;277;247;300;295;258;256;239;269;228;264
600,6;324;291;281;277;288;272;294;268;284;260
602,8;299;323;325;351;326;332;350;334;297;335
605,0;391;386;382;372;389;386;355;375;368;363
607,1;356;387;395;394;412;382;372;356;396;380
609,3;397;402;387;387;370;368;399;378;339;378
611,4;414;405;392;432;378;422;426;409;420;431
613,6;462;416;457;436;395;481;421;442;398;436
615,7;429;391;396;400;411;378;425;372;392;380
617,8;337;352;347;305;325;338;323;299;301;336
620,0;322;318;304;297;309;308;266;304;284;326
622,1;294;304;324;316;273;303;282;299;301;286
624,2;298;288;303;270;255;266;286;262;287;269
626,3;299;291;325;286;291;284;274;292;275;284
628,4;312;259;248;266;233;273;219;248;240;248
630,5;220;195;189;202;204;170;187;193;175;202
632,6;166;201;173;168;186;183;197;152;148;179
634,7;196;209;192;221;192;201;181;178;174;201
636,7;164;152;129;156;141;130;160;138;148;149
638,8;198;216;200;163;204;166;180;181;174;178
640,9;190;217;186;146;160;170;137;150;158;172
642,9;212;149;129;137;156;156;133;114;143;123
645,0;183;167;140;156;141;158;139;135;134;133
647,0;139;128;127;135;98;121;129;128;110;124
649,1;125;130;105;111;135;100;128;112;74;109
651,1;94;117;100;105;121;84;103;64;95;83
653,1;130;145;97;80;104;65;90;104;66;84
655,1;79;100;81;104;82;67;42;75;94;63
657,1;128;124;82;111;79;104;83;78;82;107
659,2;96;63;86;63;96;78;70;77;105;102
661,2;91;75;83;74;91;68;52;81;57;62
663,1;65;73;66;73;84;68;83;79;68;71
665,1;58;61;101;72;72;93;54;89;62;45
667,1;64;48;45;61;56;64;60;41;52;42
669,1;42;27;36;41;50;51;44;50;35;55
671,1;35;52;58;42;38;39;28;62;55;28
673,0;47;42;69;49;55;49;28;46;61;34
675,0;50;54;30;41;15;69;20;45;52;38
676,9;60;53;44;75;71;58;73;55;56;43
678,9;79;53;71;49;67;53;27;31;54;55
680,8;18;3;39;33;21;31;38;33;29;7
682,7;13;0;0;4;0;0;35;33;0;26
684,7;48;70;73;42;41;67;58;98;52;48
686,6;60;41;33;40;43;57;27;50;60;49
688,5;50;66;10;57;48;41;46;54;38;53
690,4;11;43;10;19;23;0;15;25;22;2
692,3;49;30;8;23;47;0;55;26;64;37
694,2;28;15;35;33;19;47;34;30;45;30
696,1;67;24;14;21;0;33;36;16;30;28
697,9;36;3;2;7;48;16;11;0;2;26
699,8;15;12;11;29;14;8;10;25;26;39
701,7;23;25;9;35;4;45;0;9;25;22
703,5;41;50;20;15;4;0;0;12;10;0
705,4;50;0;4;23;27;37;36;27;19;16
707,2;33;58;52;45;27;48;57;56;64;16
709,1;10;62;11;8;12;5;24;1;29;30
710,9;37;24;26;42;23;21;34;10;0;21
712,7;30;3;20;27;1;9;21;14;5;35
714,6;12;35;32;3;18;29;0;33;22;24
716,4;7;0;0;6;14;0;0;24;10;18
718,2;29;52;40;39;41;25;71;54;44;42
720,0;22;31;0;10;33;17;28;26;17;10
721,8;10;40;32;43;34;10;16;16;0;65
723,6;27;48;30;13;47;30;29;5;10;16
725,4;53;27;44;16;13;64;41;23;46;19
727,1;19;44;10;25;38;15;48;3;0;28
728,9;0;0;0;0;0;4;0;8;0;0
730,7;4;5;11;3;0;13;39;20;4;0
732,4;2;1;0;0;0;0;3;0;16;4
734,2;0;15;5;25;10;0;18;39;2;0
735,9;28;24;26;14;32;27;15;19;20;0
737,7;47;33;0;19;26;16;27;35;26;28
739,4;0;16;9;8;5;22;24;12;4;0
741,1;33;2;0;1;25;6;24;35;8;0
742,8;0;22;0;0;20;2;0;0;0;8
744,5;33;43;53;29;32;33;39;15;38;10
746,3;0;39;31;42;18;42;32;34;16;13
748,0;3;0;16;0;0;7;1;0;16;3
749,6;0;25;0;20;0;33;12;9;11;25
751,3;39;47;39;55;34;38;25;20;23;36
753,0;36;6;28;26;20;7;0;10;18;22
754,7;6;3;8;0;8;15;0;0;1;7
756,4;0;0;0;11;6;10;11;0;12;20
758,0;8;22;25;0;15;3;5;21;13;24
759,7;28;44;1;7;26;17;0;0;13;46
761,3;22;21;17;31;47;10;7;16;16;13
763,0;30;4;0;16;0;0;0;13;0;0
764,6;38;25;0;40;19;7;18;30;35;17
766,2;0;42;20;8;23;15;2;23;15;5
767,9;5;23;21;0;0;0;1;11;0;0
769,5;29;25;0;30;19;12;25;27;39;30
771,1;0;0;0;2;0;0;17;8;7;4
772,7;48;8;45;1;5;0;17;0;0;22
774,3;0;0;0;0;0;0;0;0;0;0
775,9;11;0;0;0;8;0;0;0;0;0
777,5;1;5;19;15;0;10;17;23;1;13
779,1;34;44;13;58;1;22;5;9;16;3
780,6;23;0;20;0;0;23;1;0;27;24
782,2;19;17;12;25;21;18;12;20;27;0
783,8;39;14;26;27;38;22;12;32;4;47
785,3;5;9;0;0;18;21;0;14;8;0
786,9;44;26;40;18;40;26;39;21;47;36
788,4;0;8;5;30;0;28;0;0;0;16
790,0;0;5;0;0;11;0;1;0;0;0
791,5;47;32;26;10;20;0;0;34;4;12
793,0;0;0;0;0;19;8;0;0;0;0
794,5;17;24;17;10;0;26;20;0;23;14
796,0;32;35;63;38;51;45;37;31;51;31
797,6;13;25;10;9;29;43;10;1;16;0
799,1;19;0;0;0;0;0;0;0;9;13
800,6;0;0;18;0;0;0;0;0;0;0
802,1;0;0;0;0;0;0;0;0;0;0
803,5;18;21;20;20;15;26;14;3;35;15
805,0;17;12;5;0;0;20;0;12;16;11
806,5;54;39;22;28;52;29;25;34;13;70
808,0;13;8;5;15;41;26;0;24;21;17
809,4;0;0;0;5;29;0;0;11;1;0
810,9;0;0;0;0;0;0;0;0;0;0
812,3;25;18;20;21;10;10;27;55;20;1
813,8;33;35;1;15;52;6;32;53;39;0
815,2;6;23;0;0;0;23;0;0;0;2
816,7;0;0;0;0;32;0;0;0;0;0
818,1;1;13;2;2;28;3;7;35;7;5
819,5;41;33;23;0;0;0;34;38;0;0
820,9;12;0;0;0;0;12;0;0;0;0
822,3;0;14;9;10;2;0;0;0;0;0
823,7;2;22;0;27;13;32;20;18;0;7
825,1;0;0;0;0;0;7;3;10;0;0
826,5;12;0;0;13;16;0;0;0;21;16
827,9;0;0;0;0;0;0;0;0;1;15
829,3;0;0;0;0;3;0;0;0;0;0
830,7;33;4;17;30;29;14;31;19;4;15
832,1;49;47;44;43;65;47;52;57;48;14
833,4;52;36;8;38;41;29;31;47;50;34
834,8;0;0;0;0;0;0;0;0;0;0
836,2;6;15;3;1;0;0;16;17;0;10
837,5;0;0;0;0;0;0;0;0;0;0
838,9;0;6;0;0;0;5;24;2;3;0
840,2;0;0;0;0;0;14;0;12;16;9
841,5;21;20;41;2;11;14;8;28;23;28
842,9;0;24;5;13;0;0;0;0;2;0
844,2;11;34;14;20;30;0;9;6;27;23
845,5;52;55;39;63;43;35;47;23;58;42
846,9;0;0;8;37;9;21;33;12;18;2
848,2;0;0;0;0;0;0;0;0;0;0
849,5;10;18;22;20;8;21;0;0;1;5
850,8;6;0;0;32;2;4;0;8;3;0
852,1;18;11;14;4;6;32;26;35;35;23
853,4;38;9;11;27;32;19;20;16;36;31
854,7;0;8;5;0;0;0;4;0;0;1
856,0;58;0;41;29;42;21;9;18;24;30
857,2;7;46;36;15;18;41;33;71;31;10
858,5;0;0;0;0;0;0;0;0;0;0
859,8;0;0;0;5;0;0;0;0;0;0
861,0;0;4;10;0;0;0;0;0;0;0
862,3;15;15;13;28;12;47;27;14;28;0
863,6;9;0;25;3;0;7;0;0;0;0
864,8;37;0;0;18;38;58;14;0;31;13
866,1;0;0;0;0;0;0;0;0;1;6
867,3;0;0;0;1;0;1;0;18;17;19
868,6;8;0;24;36;10;6;2;22;0;18
869,8;29;0;11;13;34;15;13;30;0;4
871,0;11;0;23;15;21;58;18;27;24;9
872,3;21;14;33;52;13;35;2;50;21;10
873,5;25;27;6;14;0;21;0;0;0;18
874,7;1;0;0;1;0;0;0;0;13;0
875,9;27;10;0;19;0;0;7;4;21;15
877,1;0;0;0;0;0;0;0;0;11;23
878,3;0;0;8;3;0;0;0;5;15;0
879,6;11;58;11;20;17;10;21;28;31;20
880,8;45;19;25;33;31;48;37;40;13;56
882,0;4;25;0;0;22;0;21;7;11;10
883,1;8;0;0;6;0;0;0;0;25;0
