Description
h7_1

Time;12:17:28.903;12:17:29.600;12:17:30.331;12:17:31.433;12:17:32.337;12:17:33.335;12:17:34.425;12:17:35.343;12:17:36.298;12:17:37.326;12:17:38.314
Global Index;1;2;3;4;5;6;7;8;9;10;11
Phase;;;;;;;;;;;
Phase Record Index;1;2;3;4;5;6;7;8;9;10;11
Integration Time in ms;200;200;200;200;200;200;200;200;200;200;200
Average Count;5;5;5;5;5;5;5;5;5;5;5
314,6;0;43159;42962;43022;42951;42603;42575;42415;42195;41996;41900
317,3;0;37839;37942;37884;37547;37644;37239;37214;37021;36697;36728
320,0;0;30759;30872;30740;30560;30390;30328;30157;29950;29858;29574
322,6;0;23566;23587;23480;23494;23284;23255;23016;22885;22669;22525
325,3;0;17713;17788;17682;17634;17514;17391;17392;17150;17134;16954
328,0;0;13236;13296;13416;13308;13294;13103;13006;12962;12930;12767
330,7;0;10222;10407;10475;10399;10261;10235;10148;10098;10024;9911
333,3;0;8256;8401;8430;8439;8388;8224;8289;8159;8075;8068
336,0;0;7017;7154;7164;7201;7083;7032;7003;6986;6951;6837
338,7;0;6069;6184;6271;6339;6239;6202;6120;6104;6071;6018
341,3;0;5326;5499;5570;5584;5570;5550;5518;5433;5405;5417
344,0;0;4768;4960;5036;5097;5069;4996;5030;4944;4970;4939
346,6;0;4345;4513;4628;4635;4655;4629;4553;4545;4474;4525
349,3;0;4016;4136;4272;4253;4197;4217;4166;4128;4115;4156
352,0;0;3502;3679;3681;3719;3749;3745;3709;3725;3687;3658
354,6;0;3055;3211;3345;3259;3346;3312;3346;3256;3297;3225
357,2;0;2623;2808;2849;2889;2799;2874;2886;2835;2894;2811
359,9;0;2251;2384;2398;2458;2384;2471;2398;2382;2397;2423
362,5;0;1861;1980;2051;2056;2044;2108;2023;2066;2061;2051
365,2;0;1622;1666;1727;1721;1732;1774;1766;1745;1793;1744
367,8;0;1400;1442;1482;1560;1499;1514;1499;1522;1503;1533
370,4;0;1240;1327;1290;1347;1359;1361;1370;1364;1387;1348
373,0;0;1161;1170;1193;1250;1240;1276;1244;1274;1253;1277
375,7;0;1130;1177;1175;1195;1186;1211;1210;1234;1187;1190
378,3;0;1033;1091;1106;1122;1116;1096;1121;1118;1183;1145
380,9;0;976;1001;1068;1034;1053;1071;1063;1100;1093;1081
383,5;0;900;994;993;990;1026;1014;1044;1009;1053;1062
386,1;0;949;960;986;1020;1013;1056;1048;1043;1066;1052
388,7;0;923;960;990;992;1053;1039;1076;990;1057;1105
391,3;0;982;973;1019;1052;1063;1119;1131;1134;1122;1130
393,9;0;995;980;1006;1088;1070;1106;1091;1076;1104;1114
396,5;0;912;988;1013;1052;1123;1081;1118;1137;1162;1164
399,1;0;868;927;968;958;1032;1055;1101;1081;1120;1107
401,7;0;833;886;918;948;970;1025;1035;1064;1060;1100
404,3;0;797;869;943;968;980;1011;1020;1057;1058;1096
406,9;0;789;835;892;938;990;1006;1036;1036;1061;1092
409,5;0;749;781;856;912;919;967;956;1015;1047;1052
412,0;0;709;754;827;816;876;893;927;955;958;975
414,6;0;689;720;784;775;845;880;901;912;961;956
417,2;0;599;678;732;745;760;795;843;851;885;893
419,7;0;564;631;651;656;682;746;743;804;829;822
422,3;0;560;600;582;688;694;712;720;748;788;806
424,8;0;507;540;593;627;605;668;696;731;765;771
427,4;0;454;505;546;565;654;681;665;685;716;733
429,9;0;443;507;541;585;610;646;635;657;672;721
432,5;0;457;424;508;570;579;598;635;628;652;707
435,0;0;405;432;464;519;533;548;575;602;611;645
437,5;0;399;425;453;501;502;534;535;625;614;612
440,1;0;409;439;485;493;535;557;579;609;633;638
442,6;0;403;419;479;513;520;547;534;563;596;586
445,1;0;383;408;442;501;492;520;585;549;568;577
447,6;0;319;421;441;463;498;504;524;538;566;563
450,1;0;385;384;448;449;480;461;490;509;544;529
452,6;0;343;382;406;461;441;470;498;509;530;531
455,2;0;362;420;406;448;472;482;500;548;522;526
457,7;0;333;377;385;441;442;483;495;480;518;514
460,1;0;356;413;439;451;462;486;492;504;494;523
462,6;0;321;395;415;453;441;462;475;492;482;539
465,1;0;348;406;402;451;462;460;462;446;488;484
467,6;0;369;405;386;462;435;477;465;484;514;517
470,1;0;356;390;454;447;455;432;478;504;510;473
472,6;0;346;396;411;448;435;438;439;476;485;474
475,0;0;364;443;453;457;430;502;493;501;485;463
477,5;0;386;425;464;463;475;463;475;469;518;511
479,9;0;432;446;497;523;527;517;566;554;530;518
482,4;0;427;460;440;486;502;476;481;491;514;552
484,8;0;405;447;479;479;491;505;536;488;507;505
487,3;0;417;470;496;484;534;534;526;551;515;567
489,7;0;447;476;498;507;490;500;550;486;512;549
492,2;0;457;496;523;489;515;519;511;502;517;545
494,6;0;434;464;447;493;484;470;497;502;502;517
497,0;0;436;485;472;480;473;481;474;491;486;501
499,4;0;518;542;549;525;557;554;541;550;560;565
501,8;0;556;594;599;563;574;597;586;602;601;646
504,3;0;678;678;716;701;707;713;733;716;727;742
506,7;0;787;796;788;803;835;807;797;810;831;800
509,1;0;911;915;959;944;938;940;947;927;945;916
511,5;0;906;858;883;880;863;911;881;916;901;913
513,8;0;745;752;764;774;792;776;803;805;785;792
516,2;0;637;645;656;666;672;633;699;660;650;653
518,6;0;534;508;550;566;566;571;553;552;544;580
521,0;0;429;485;465;503;503;462;488;461;485;485
523,3;0;441;447;452;451;447;434;437;440;419;445
525,7;0;449;424;445;449;435;414;409;408;468;459
528,1;0;495;533;511;486;509;505;520;486;510;513
530,4;0;544;575;613;611;610;561;583;612;594;630
532,8;0;655;631;678;662;691;701;708;656;645;685
535,1;0;684;677;688;686;663;692;689;709;665;697
537,4;0;608;616;635;618;655;609;592;637;627;642
539,8;0;345;350;345;364;357;358;367;387;358;364
542,1;0;250;267;290;297;250;294;261;251;276;303
544,4;0;327;314;327;327;333;325;311;320;371;325
546,7;0;315;319;330;327;301;337;306;344;326;359
549,1;0;342;330;356;345;337;343;351;309;350;351
551,4;0;380;418;408;407;355;385;363;389;355;386
553,7;0;371;403;385;343;370;387;360;320;366;366
556,0;0;365;385;392;364;405;389;382;375;371;354
558,2;0;413;398;407;394;396;380;375;377;415;409
560,5;0;333;346;339;348;333;363;303;339;327;374
