Description
h7_3

Time;12:20:19.417;12:20:20.155;12:20:21.284;12:20:22.154;12:20:23.140;12:20:24.170;12:20:25.170;12:20:26.311;12:20:27.207;12:20:28.174;12:20:29.167
Global Index;1;2;3;4;5;6;7;8;9;10;11
Phase;;;;;;;;;;;
Phase Record Index;1;2;3;4;5;6;7;8;9;10;11
Integration Time in ms;200;200;200;200;200;200;200;200;200;200;200
Average Count;5;5;5;5;5;5;5;5;5;5;5
314,6;0;41606;41366;41073;40918;40954;40673;40557;40273;40162;40130
317,3;0;36398;36158;35898;35794;35434;35503;35128;35189;34948;34877
320,0;0;29050;28991;28848;28682;28495;28477;28251;28106;28000;27857
322,6;0;21863;21880;21890;21716;21599;21376;21178;21169;21015;20844
325,3;0;16400;16154;16202;16078;15945;15844;15790;15586;15406;15390
328,0;0;12114;11955;11856;11830;11672;11652;11523;11386;11373;11219
330,7;0;9147;9138;9074;8951;9039;8913;8843;8698;8608;8527
333,3;0;7268;7291;7199;7141;7111;7108;6931;6931;6859;6825
336,0;0;6047;6088;6001;5957;5926;5871;5854;5723;5645;5674
338,7;0;5172;5171;5132;5117;5147;5045;5021;4957;4945;4893
341,3;0;4575;4594;4554;4541;4580;4493;4419;4315;4368;4365
344,0;0;4055;4168;4127;4094;4067;4061;4001;3936;3930;3936
346,6;0;3655;3656;3677;3679;3666;3629;3596;3565;3553;3506
349,3;0;3257;3280;3337;3286;3263;3222;3232;3171;3132;3164
352,0;0;2892;2947;2916;2926;2993;2885;2888;2803;2832;2809
354,6;0;2513;2528;2578;2551;2551;2553;2523;2535;2502;2384
357,2;0;2136;2144;2194;2199;2142;2141;2125;2099;2112;2084
359,9;0;1770;1782;1762;1827;1830;1791;1824;1772;1844;1771
362,5;0;1488;1479;1478;1499;1532;1533;1520;1532;1459;1468
365,2;0;1222;1292;1291;1302;1280;1277;1303;1313;1279;1276
367,8;0;1057;1093;1090;1124;1115;1094;1104;1083;1072;1091
370,4;0;904;920;969;937;993;976;965;958;964;931
373,0;0;791;823;837;857;867;847;855;857;875;855
375,7;0;710;751;738;775;779;764;767;791;770;776
378,3;0;684;668;671;719;702;722;752;716;691;711
380,9;0;641;642;659;718;704;703;721;704;735;716
383,5;0;632;693;674;687;677;705;676;725;687;707
386,1;0;564;624;633;648;667;655;679;700;701;676
388,7;0;606;644;654;681;716;724;705;734;734;704
391,3;0;545;634;630;654;675;687;688;701;713;698
393,9;0;593;629;642;661;709;705;699;704;729;744
396,5;0;582;607;667;683;704;721;737;791;746;766
399,1;0;578;622;652;716;727;725;755;776;780;804
401,7;0;537;606;628;656;703;712;741;779;786;773
404,3;0;522;592;616;676;676;719;741;758;767;831
406,9;0;549;565;581;588;658;696;740;753;747;761
409,5;0;510;528;616;608;675;710;713;764;761;744
412,0;0;495;527;548;584;638;639;695;714;719;746
414,6;0;450;478;542;561;629;632;674;706;692;711
417,2;0;400;474;511;562;585;609;635;675;670;689
419,7;0;465;469;518;532;562;576;613;634;697;666
422,3;0;423;423;469;489;573;571;626;629;639;677
424,8;0;384;409;514;497;530;571;575;579;621;644
427,4;0;387;435;419;475;524;513;549;517;565;622
429,9;0;363;369;422;456;492;475;533;549;538;546
432,5;0;335;357;401;435;420;502;498;522;543;548
435,0;0;338;326;398;430;441;479;476;520;499;544
437,5;0;303;324;335;332;404;402;449;490;492;478
440,1;0;291;301;342;378;421;427;435;478;476;483
442,6;0;298;302;340;349;437;422;427;454;457;478
445,1;0;305;348;336;356;430;433;462;466;483;483
447,6;0;308;296;296;355;388;408;402;411;431;415
450,1;0;287;330;327;372;365;377;380;414;419;439
452,6;0;283;330;360;350;390;398;392;419;442;414
455,2;0;306;364;389;385;390;391;451;467;464;492
457,7;0;274;276;307;326;380;344;398;377;427;428
460,1;0;255;291;317;317;358;357;358;396;414;388
462,6;0;221;262;265;262;339;307;321;340;353;370
465,1;0;254;272;303;346;376;350;358;390;362;395
467,6;0;296;336;288;363;355;348;368;359;370;365
470,1;0;294;313;345;334;375;381;387;370;387;400
472,6;0;244;284;259;295;323;329;342;339;342;340
475,0;0;281;295;337;336;376;372;358;375;394;370
477,5;0;348;347;352;408;415;386;382;398;359;358
479,9;0;303;308;362;368;438;400;371;404;346;428
482,4;0;332;378;378;395;495;425;409;411;414;407
484,8;0;357;389;402;422;534;433;413;470;448;431
487,3;0;371;370;409;427;521;440;437;445;433;432
489,7;0;362;394;403;434;466;451;436;414;401;419
492,2;0;402;415;464;420;481;449;404;470;397;408
494,6;0;394;424;396;417;442;457;447;436;457;428
497,0;0;419;460;427;461;517;481;474;470;434;497
499,4;0;451;460;431;481;574;533;505;493;497;509
501,8;0;527;545;578;586;651;683;632;638;592;566
504,3;0;709;705;737;774;841;829;810;804;765;736
506,7;0;760;825;816;923;983;976;964;918;977;870
509,1;0;861;936;958;1033;1068;1105;1042;1064;1080;970
511,5;0;862;896;895;990;1057;1065;1081;1009;1069;948
513,8;0;763;801;831;889;1016;963;929;936;941;880
516,2;0;674;698;714;748;789;754;834;764;781;724
518,6;0;498;501;558;578;601;586;594;605;579;529
521,0;0;396;431;439;440;469;484;462;492;455;430
523,3;0;406;405;399;432;413;445;403;418;414;399
525,7;0;416;422;443;453;471;430;444;411;424;399
528,1;0;477;444;469;477;512;531;498;507;511;501
530,4;0;557;559;576;606;584;626;579;606;584;567
532,8;0;627;641;632;698;718;692;656;666;649;647
535,1;0;685;681;666;645;752;704;694;699;667;685
537,4;0;600;591;594;635;634;611;628;593;561;559
539,8;0;345;361;335;389;381;335;358;381;377;353
542,1;0;279;262;271;284;308;263;279;265;292;328
544,4;0;291;274;315;335;333;301;321;368;301;311
546,7;0;316;320;354;314;382;331;347;357;358;346
549,1;0;334;353;386;376;386;392;368;374;346;347
551,4;0;331;391;369;360;404;388;435;411;369;333
553,7;0;349;384;362;392;411;400;386;412;416;402
556,0;0;391;387;366;372;422;405;403;405;454;384
558,2;0;341;344;369;358;414;383;399;351;371;372
560,5;0;309;294;337;339;398;366;394;347;316;366
562,8;0;305;345;342;345;368;353;354;333;341;344
565,1;0;296;328;347;310;350;390;322;322;331;329
567,3;0;269;304;289;301;316;282;305;291;301;294
569,6;0;215;230;217;253;253;292;269;251;233;270
