Description
h3_3

Time;11:52:25.272;11:52:26.103;11:52:27.400;11:52:28.241;11:52:29.218;11:52:30.213;11:52:31.209;11:52:32.249;11:52:33.212;11:52:34.223;11:52:35.220
Global Index;1;2;3;4;5;6;7;8;9;10;11
Phase;;;;;;;;;;;
Phase Record Index;1;2;3;4;5;6;7;8;9;10;11
Integration Time in ms;200;200;200;200;200;200;200;200;200;200;200
Average Count;5;5;5;5;5;5;5;5;5;5;5
314,6;0;43067;42360;42281;42121;41881;41681;41418;41355;41307;41199
317,3;0;37904;37468;37210;37052;36601;36606;36202;36254;36186;35776
320,0;0;30921;30432;30237;29802;29672;29387;29327;29205;29160;29150
322,6;0;23844;23337;23208;22847;22650;22611;22325;22267;22143;22037
325,3;0;18037;17812;17404;17284;17070;16930;16708;16744;16548;16489
328,0;0;13694;13388;13163;12974;12848;12603;12587;12441;12313;12246
330,7;0;10777;10509;10246;10081;9889;9789;9732;9600;9508;9463
333,3;0;8897;8610;8391;8252;8118;8047;7967;7847;7722;7718
336,0;0;7745;7431;7205;7009;6904;6822;6792;6630;6658;6591
338,7;0;6948;6590;6377;6289;6144;6056;5928;5882;5830;5870
341,3;0;6208;5993;5723;5666;5537;5430;5362;5255;5246;5220
344,0;0;5842;5563;5279;5186;5073;5017;4876;4883;4785;4768
346,6;0;5491;5182;4954;4806;4698;4613;4628;4447;4481;4424
349,3;0;5072;4741;4585;4378;4332;4226;4193;4121;4066;4008
352,0;0;4624;4378;4107;4005;3896;3828;3751;3730;3713;3635
354,6;0;4227;3899;3710;3585;3510;3376;3373;3375;3257;3299
357,2;0;3735;3418;3258;3160;3056;2943;2948;2931;2876;2889
359,9;0;3214;2982;2832;2700;2641;2589;2530;2475;2479;2465
362,5;0;2709;2494;2367;2263;2205;2178;2135;2098;2045;2056
365,2;0;2339;2146;2049;1927;1907;1848;1826;1819;1803;1808
367,8;0;2044;1875;1749;1717;1672;1673;1614;1579;1561;1568
370,4;0;1783;1592;1523;1435;1430;1399;1373;1362;1304;1303
373,0;0;1548;1424;1365;1310;1276;1271;1211;1241;1216;1219
375,7;0;1418;1339;1229;1173;1136;1162;1089;1091;1062;1074
378,3;0;1346;1228;1140;1121;1164;1093;1087;1086;1074;1035
380,9;0;1231;1154;1129;1090;1050;1039;1044;1000;1042;1002
383,5;0;1178;1112;1056;1033;991;982;945;1020;978;971
386,1;0;1134;1071;1020;999;941;982;1004;967;980;1006
388,7;0;1103;1076;1016;1017;981;954;991;1012;954;1018
391,3;0;1049;1020;990;1001;1005;978;991;928;954;972
393,9;0;1090;1018;1010;996;1020;988;955;1012;980;1001
396,5;0;1049;953;1015;952;985;988;1000;1009;985;1007
399,1;0;960;931;947;951;965;930;1028;1045;987;1021
401,7;0;915;897;917;892;907;942;925;973;967;998
404,3;0;867;869;844;922;887;931;958;936;965;949
406,9;0;843;811;855;838;925;918;936;941;930;958
409,5;0;770;789;826;843;825;867;864;879;908;942
412,0;0;745;722;770;803;763;813;839;874;905;863
414,6;0;681;670;750;747;769;762;779;782;823;853
417,2;0;616;649;667;688;699;737;776;728;774;839
419,7;0;634;639;664;723;726;739;748;780;802;789
422,3;0;525;556;614;648;675;669;703;707;710;739
424,8;0;517;584;573;652;651;670;663;684;706;699
427,4;0;509;523;546;603;605;609;643;668;671;661
429,9;0;423;453;468;494;511;569;565;603;584;617
432,5;0;454;446;451;510;496;519;571;615;605;592
435,0;0;388;411;454;453;466;523;534;515;549;596
437,5;0;379;425;467;473;464;503;538;566;518;551
440,1;0;358;414;418;472;460;478;504;514;516;515
442,6;0;362;395;444;429;439;445;483;486;514;535
445,1;0;352;391;432;402;479;452;455;469;489;490
447,6;0;340;380;387;408;395;467;456;464;461;497
450,1;0;387;373;433;440;458;479;480;509;523;514
452,6;0;334;357;362;352;372;389;445;424;440;474
455,2;0;374;397;409;463;450;442;459;481;528;507
457,7;0;334;383;365;422;401;415;436;461;435;465
460,1;0;303;331;360;376;414;429;419;439;438;459
462,6;0;303;333;376;370;367;357;427;413;425;446
465,1;0;321;354;404;392;396;418;442;421;436;434
467,6;0;316;327;355;377;360;388;403;415;413;437
470,1;0;316;315;337;380;333;339;385;401;390;388
472,6;0;313;328;365;376;364;388;397;429;426;412
475,0;0;335;341;374;397;376;377;402;388;400;400
477,5;0;326;318;338;350;321;373;383;403;374;369
479,9;0;357;378;396;411;418;397;389;424;428;446
482,4;0;351;378;373;436;350;364;398;437;442;435
484,8;0;380;396;385;431;431;424;432;472;471;444
487,3;0;395;410;438;442;436;438;446;472;443;496
489,7;0;386;406;419;410;403;419;421;398;423;420
492,2;0;391;369;372;395;382;362;406;422;415;441
494,6;0;435;428;387;455;408;423;445;436;449;452
497,0;0;410;407;440;434;383;427;453;420;454;434
499,4;0;465;464;477;449;468;453;486;464;481;500
501,8;0;530;552;545;538;574;494;545;539;484;533
504,3;0;685;632;723;710;651;650;671;671;658;694
506,7;0;762;808;834;813;754;715;774;700;770;741
509,1;0;826;925;922;944;827;811;802;852;826;822
511,5;0;855;853;887;906;788;790;810;804;808;800
513,8;0;756;768;789;786;718;679;687;712;678;701
516,2;0;611;661;674;689;644;604;601;597;606;613
518,6;0;550;564;589;567;554;523;530;524;535;545
521,0;0;483;448;451;479;457;419;439;448;472;440
523,3;0;416;442;421;448;422;452;385;456;413;432
525,7;0;433;456;413;441;445;430;421;459;441;423
528,1;0;478;499;475;480;460;472;463;449;484;526
530,4;0;564;607;590;597;569;572;536;566;541;563
532,8;0;624;688;692;658;656;634;635;651;627;630
535,1;0;639;694;692;684;643;641;663;646;632;667
537,4;0;597;607;661;604;579;577;569;571;585;595
539,8;0;327;382;378;382;304;360;340;331;320;346
542,1;0;285;331;329;316;286;270;286;301;273;274
544,4;0;298;309;307;350;238;263;268;259;234;252
546,7;0;289;380;365;378;312;290;290;304;281;315
549,1;0;359;354;388;387;312;295;309;272;292;297
551,4;0;408;430;447;490;373;338;315;335;348;371
553,7;0;441;450;466;492;364;331;350;339;338;384
556,0;0;425;434;453;517;351;353;344;348;329;352
558,2;0;452;432;434;510;398;343;353;357;384;385
560,5;0;383;373;396;496;337;306;321;353;289;313
562,8;0;349;368;364;434;337;261;294;272;305;288
